Ferrovia;Ano;Pátio;Código;Em Operação;Auto Assistido;Comprimento Útil de Desvio (m);Tempo Médio Licenc. (min.);Linhas de Referência
MRS;2025.0;Agulhas Negras;FAN;Sim;Sim;1488.0;3.0;Linha de São Paulo (km 190,584)
MRS;2025.0;Itatiaia;FIA;Sim;Sim;1692.0;3.0;Linha de São Paulo (km 203,141)
MRS;2025.0;Eng. Passos;FEP;Sim;Sim;1366.0;3.0;Linha de São Paulo (km 216,554)
MRS;2025.0;Queluz;FQU;Sim;Sim;1740.0;3.0;Linha de São Paulo (km 227,846)
MRS;2025.0;Vila Queimada;FVQ;Sim;Sim;2711.0;3.0;Linha de São Paulo (km 237,144)
MRS;2025.0;Cruzeiro;FCZ;Sim;Sim;2084.0;3.0;Linha de São Paulo (km 252,382)
MRS;2025.0;Cachoeira Paulista;FCP;Sim;Sim;1470.0;3.0;Linha de São Paulo (km 265,272)
MRS;2025.0;Lorena;FLR;Sim;Sim;1600.0;3.0;Linha de São Paulo (km 280,395)
MRS;2025.0;Eng. Neiva;FEN;Sim;Sim;3113.0;3.0;Linha de São Paulo (km 287,982)
MRS;2025.0;Aparecida;FAD;Sim;Sim;1106.0;3.0;Linha de São Paulo (km 297,880)
MRS;2025.0;Roseira;FRA;Sim;Sim;1905.0;3.0;Linha de São Paulo (km 308,430)
MRS;2025.0;Curuputuba;FCT;Sim;Sim;1435.0;3.0;Linha de São Paulo (km 318,416)
MRS;2025.0;Pindamonhangaba;FPG;Sim;Sim;1400.0;5.0;Linha de São Paulo (km 325,691)
MRS;2025.0;Taubaté;FTA;Sim;Sim;2313.0;5.0;Linha de São Paulo (km 344,336)
MRS;2025.0;Caçapava;FCA;Sim;Sim;1162.0;5.0;Linha de São Paulo (km 365,725)
MRS;2025.0;Edmar Alves;FEA;Sim;Sim;1507.0;5.0;Linha de São Paulo (km 374,000)
MRS;2025.0;Eng. Martins Guimarães;FEM;Sim;Sim;1168.0;5.0;Linha de São Paulo (km 381,668)
MRS;2025.0;São José dos Campos;FSJ;Sim;Sim;1508.0;5.0;Linha de São Paulo (km 388,404)
MRS;2025.0;Pagador Andrade;FPA;Sim;Sim;1632.0;5.0;Linha de São Paulo (km 402,324)
MRS;2025.0;Remédios;FRE;Sim;Sim;1357.0;5.0;Linha de São Paulo (km 418,187)
MRS;2025.0;Itapeti;FIP;Sim;Sim;1554.0;5.0;Linha de São Paulo (km 431,908)
MRS;2025.0;São Bento;FST;Sim;Sim;2457.0;5.0;Linha de São Paulo (km 441,364)
MRS;2025.0;Manoel Feio;IEF;Sim;Sim;1305.0;10.0;Linha de São Paulo (km 461,858), CPTM (Jacarei - Bras) (km 473,371)
MRS;2025.0;Dr. Joaquim Murtinho;FDM;Sim;Sim;3145.0;3.0;Ramal do Terminal da Açominas (km 477,852), Variante do Paraopeba (km 477,852), Posto km 452 - Miguel Burnier (Linha do Centro) (km 477,852)
MRS;2025.0;Posto km 482;FQD;Sim;Sim;1794.0;3.0;Variante do Paraopeba (km 482,055)
MRS;2025.0;Caetano Lopes;FLP;Sim;Sim;3312.0;3.0;Variante do Paraopeba (km 498,550), Ligação Caetano Lopes - Alça Dupla (km 307,673)
MRS;2025.0;Jeceaba;FJR;Sim;Sim;1908.0;3.0;Variante do Paraopeba (km 504,180), Ligação Jeceaba - P1-07 (km 304,885)
MRS;2025.0;Arrojado Lisboa;FAL;Sim;Sim;1922.0;3.0;Variante do Paraopeba (km 514,820)
MRS;2025.0;Posto km 520;FQZ;Sim;Sim;2110.0;3.0;Variante do Paraopeba (km 519,561)
MRS;2025.0;Belo Vale;FBV;Sim;Sim;2230.0;6.0;Variante do Paraopeba (km 530,039)
MRS;2025.0;Posto km 537;FTC;Sim;Sim;1929.0;6.0;Variante do Paraopeba (km 537,000)
MRS;2025.0;Moeda;FMD;Sim;Sim;1642.0;6.0;Variante do Paraopeba (km 543,583)
MRS;2025.0;Marinhos;FMS;Sim;Sim;2393.0;6.0;Variante do Paraopeba (km 553,618)
MRS;2025.0;Cel. Eurico;FLC;Sim;Sim;1976.0;6.0;Variante do Paraopeba (km 559,420)
MRS;2025.0;Melo Franco;FML;Sim;Sim;1786.0;6.0;Variante do Paraopeba (km 566,080)
